culture,sale_uid,sale_display_name
de_AT,de_AT422123,"Vietnam / Hanoi, Ho Chi Minh & Mui Ne - Circuit Privatif Vietnam à votre rythme"
de_AT,de_AT422871,"Vietnam / Ho Chi Minh Stadt, Hue & Halong - Private Rundreise: Entdeckungsreise mit Möglichkeit zur Verlängerung am Strand"
de_AT,de_AT423102,Spanien / Costa Blanca - Occidental Pueblo Acantilado
de_AT,de_AT422957,Österreich / Kärnten - COOEE alpin Hotel Bad Kleinkirchheim
de_AT,de_AT422883,Italien / Dolomiten - Hotel Sporting Ravelli 4*
de_AT,de_AT423004,Spanien / Costa Brava - GHT Costa Brava
de_AT,de_AT422725,"Italien / Rom - Mercure Roma Corso Trieste, Agriturismo I Pozzetti"
de_AT,de_AT423038,Italien / Rom - Grand Hotel Plaza Rom 5*
de_AT,de_AT423220,Polen / Posen - Sheraton Poznan Hotel 5*
de_AT,de_AT422968,Ägypten / Bei Hurghada - JAZ Elite Asteria 5*
de_AT,de_AT422345,Salzburger Land / Zauchensee - FIRSTpeak Zauchensee 4*
de_AT,de_AT422810,Griechenland / Kamena Vourla - Mitsis Galini Wellness Spa & Resort 5*
de_AT,de_AT422559,Griechenland / Santorini - Adults Only: Aperanto Suites
de_AT,de_AT423192,"Frankreich / Provence - Mercure Aix en Provence Beaumanoir, La Villa Borghese"
de_AT,de_AT423219,Balearen / Mallorca - VIVA Golf Adults Only 18+
de_AT,de_AT422406,Indischer Ozean / Malediven - Angsana Velavaru 5*
de_AT,de_AT423228,Italien / Venetien - LAGUNA PARK HOTEL
de_AT,de_AT422869,Tschechien / Prag - Vienna House Diplomat Prague 4*
de_AT,de_AT422890,Oman / Maskat - Kempinski Muscat
de_AT,de_AT422822,Kanaren / Fuerteventura - Sbh Costa Calma Beach Resort 4*
de_CH,de_CH421158,Portugal / Madeira  - The Vine
de_CH,de_CH423237,"Kombireise / Katar & Thailand - Ritz Carlton Doha 5*, The Naka Island Phuket 5* - A Luxury Collection Resort & Spa"
de_CH,de_CH422788,Griechenland / Santorini - Anema Boutique Hotel & Villas 4*
de_CH,de_CH423210,Spanien / Costa Brava - Beverly Park Hotel & Spa 4*
de_CH,de_CH423093,Frankreich / Strassburg - Résidence Inn by Marriott Strassburg 4*
de_CH,de_CH423122,Schweiz / Quatre Vallées - SWISSPEAK Resort Thyon 4 Vallées 4*
de_CH,de_CH422618,Österreich / Tirol - Hotel Schwarzbrunn Superior 4*
de_CH,de_CH422122,"Kombireise / Tansania & Sansibar - Safari in Tansania, Maharaja Boutique Hotel Zanzibar"
de_CH,de_CH422349,"Philippinen / Negros, Siquijor & Bohol - Private Rundreise: Natur und Wellness auf den Visayas"
de_CH,de_CH423162,"Marokko / Marrakesch und Wüste Agafay - Traumreise zwischen Wüste von Agafay, Marrakesch und Heissluftballonfahrt"
de_CH,de_CH422985,Italien / Bei Venedig - Elite Hotel & Spa 4*
de_CH,de_CH423187,Montenegro / Bucht von Kotor - Lazure Marina & Hotel
de_CH,de_CH423097,"Griechenland / Zakynthos - Domes Aulus Zante 5*, Autograph Collection"
de_CH,de_CH423065,Tunesien / Hammamet - Hôtel Royal Azur Thalassa
de_CH,de_CH423208,Kanada / Calgary - Residence Inn by Marriott Calgary Downtown/Beltline Dis
de_CH,de_CH423241,Portugal / Lissabon - Madalena by The Beautique Hotels
de_CH,de_CH423110,Kanaren / Fuerteventura - Hotel LIVVO Risco del Gato Suites 4*
de_CH,de_CH421233,Kroatien / Dalmatien - Grand Hotel Slavia 4*
de_CH,de_CH423194,Portugal / Porto - Hotel Premium Porto Downtown 4*
de_CH,de_CH423069,Spanien / Barcelona - Ohla Eixample
de_CH,de_CH422112,"Mauritius / Belle Mare  - Seasense Boutique Hotel & Spa 5*, Hotel Chalets Chamarel 4*"
de_CH,de_CH423013,"Griechenland / Athens, Paros & Santorini - Package Athens, Paros, Santorin - 2025"
de_CH,de_CH422319,Schweiz / Wallis - SWISSPEAK Resorts Zinal
de_CH,de_CH422926,Türkei / Istanbul  - Recital Park Hotel 4*
de_CH,de_CH423039,Griechenland / Kreta - Grecotel Casa Adele 4*
de_CH,de_CH422803,"Kuba / Havanna & Varadero - Mystique Regis Habana By Royalton 5*, Royalton Hicacos Resort & Spa Varadero 5*"
de_CH,de_CH422957,Österreich / Kärnten - COOEE alpin Hotel Bad Kleinkirchheim
de_CH,de_CH423120,"Griechenland / Kreta - Isla Brown Chania Resort 5*, Curio Collection by Hilton"
de_CH,de_CH422676,"Island / Vik, Myrdal & Reykjavik - Autotour: Geysire, Gletscher und Wasserfälle"
de_CH,de_CH423217,Italien / Sizilien  - Terre di Eolo
de_CH,de_CH423001,"Jordanien / Petra, Wadi Rum & Totes Meer - Autotour & Extension mer morte"
de_CH,de_CH423066,Berlin / Tiergarten - Hotel Pestana Berlin Tiergarten
de_CH,de_CH422958,Ungarn / Budapest - Courtyard by Marriott Budapest City Center 4*
de_CH,de_CH419951,Balearen / Mallorca - Fergus Style Tobago 5*
de_CH,de_CH423020,Kanaren / Gran Canaria - Suites & Villas by Dunas 4*
de_CH,de_CH422875,Kombireise / Südkorea & Japan - Circuit en liberté : Duo d’Asie : Corée du Sud & Japon
de_CH,de_CH422413,Griechenland / In der Nähe des Olymp - OLYMPA SUITES
de_CH,de_CH422544,"Indien / Jaipur, Agra & Goa - Private Rundreise: Das Beste von Rajasthan, Radisson Blu Resort Goa Cavelossim Beach"
de_CH,de_CH423048,"Marokko / Marrakesch & Agadir - Iberostar Waves Palmeraie Marrakech 4*, Iberostar Founty Beach"
de_CH,de_CH423180,Italien / Mailand  - UNA HOTELS Galles Milano 4* 
de_CH,de_CH423142,Spanien / Costa Brava - Rosa Nautica Hotel
